"user_type","code","type","name","parent_id","note"
"View","0","view","PUC","",""
"View","1","view","ACTIVO","0","Descripción:
Agrupa el conjunto de las cuentas que representan los bienes y derechos tangibles e intangibles de propiedad del ente económico, que en la medida de su utilización, son fuente potencial de beneficios presentes o futuros. Comprende los siguientes grupos: el disponible, las inversiones, los deudores, los inventarios, las propiedades, planta y equipo, los intangibles, los diferidos, los otros activos y las valorizaciones. Las cuentas que integran esta clase tendrán saldo de naturaleza débito, con excepción de las provisiones, las depreciaciones, el agotamiento y las amortizaciones acumuladas, que serán deducidas, de manera separada, de los correspondientes grupos de cuentas."
"View","11","view","DISPONIBLE","1","Descripción:
Comprende las cuentas que registran los recursos de liquidez inmediata, total o parcial con que cuenta el ente económico y puede utilizar para fines generales o específicos, dentro de los cuales podemos mencionar la caja, los depósitos en bancos y otras entidades financieras, las remesas en tránsito y los fondos."
"View","1105","view","CAJA","11","Descripción:
Registra la existencia en dinero efectivo o en cheques con que cuenta el ente económico, tanto en moneda nacional como extranjera, disponible en forma inmediata.
Dinámica:
Débitos
1. Por las entradas de dinero en efectivo y los cheques recibidos por cualquier concepto, tanto en moneda nacional como en moneda extranjera;
2. Por los sobrantes en caja al efectuar arqueos;
3. Por el mayor valor resultante al convertir las divisas a la tasa de cambio representativa del mercado, y
4. Por el valor de la constitución o incremento del fondo de caja menor.
Créditos
1. Por el valor de las consignaciones diarias en cuentas corrientes bancarias o de ahorro;
2. Por el valor de la negociación de divisas;
3. Por los faltantes en caja al efectuar arqueos;
4. Por el menor valor resultante al convertir las divisas a la tasa de cambio representativa del mercado;
5. Por la reducción o cancelación del monto del fondo de caja menor, y
6. Por el valor de los pagos en efectivo, en los casos que por necesidades del ente económico, se requieran. Las diferencias que se presenten al efectuar arqueos se contabilizarán en las subcuentas 136530 -responsabilidades-, cuando sean faltantes en caja o 238095 -otros- si se trata de sobrantes en caja."
"View","110505","view","Caja general","1105",""
"View","110510","view","Cajas menores","1105",""
"View","110515","view","Moneda extranjera","1105",""
"View","1110","view","BANCOS","11","Descripción:
Registra el valor de los depósitos constituidos por el ente económico en moneda nacional y extranjera, en bancos tanto del país como del exterior. Para el caso de las cuentas corrientes bancarias poseídas en el exterior su monto en moneda nacional se obtendrá de la conversión a la tasa de cambio representativa del mercado.
Dinámica:
Débitos
1. Por los depósitos realizados mediante consignaciones;
2. Por las notas crédito expedidas por los bancos de acuerdo con conceptos tales como: + Abonos originados en razón a los préstamos obtenidos. + Abonos originados en operaciones de remesas al cobro confirmadas o remesas negociadas. + Por consignaciones nacionales de clientes. + Abonos originados por el reintegro de exportaciones. + Por cualquier otra operación que aumente la disponibilidad del ente económico en el respectivo banco;
3. Por el valor de los traslados de cuentas corrientes;
4. Por el valor de los cheques anulados con posterioridad a su contabilización, y
5. Por el mayor valor resultante al convertir las divisas a la tasa de cambio representativa del mercado.
Créditos
1. Por el valor de los cheques girados;
2. Por el valor de las notas débito expedidas por los bancos de acuerdo con conceptos tales como: + Cargos originados por el no pago de cheques. + Cargo por concepto de gastos a favor de la entidad crediticia tales como: intereses, comisiones, portes, papelería, télex y chequeras. + Cargos por concepto de abonos o cancelación de préstamos. + Cargos por concepto de reembolso, de cartas de crédito por importaciones o compras nacionales adquiridas mediante esta modalidad. + Por cualquier otra operación que disminuya la disponibilidad de la sociedad en el respectivo banco;
3. Por el valor de los traslados de cuentas corrientes, y
4. Por el menor valor resultante al convertir las divisas a la tasa de cambio representativa del mercado."
"View","111005","view","Moneda nacional","1110",""
"View","111010","view","Moneda extranjera","1110",""
